3.3371,6.9759,5.128,5.1787,2.9911,8.8517,3.6312,2.7554,2.0431,7.8023,2.3384,8.4651,2.7719,6.3219,2.8758,7.4689
3.3546,6.9701,4.9936,5.0551,3.1266,8.7221,3.6302,2.8494,2.2167,7.9697,2.3961,8.2238,2.7878,6.3973,3.0413,7.6516
3.4149,7.016,5.0136,5.0727,2.9745,8.6743,3.7941,2.7918,2.2798,7.8843,2.4059,8.6887,2.8676,6.4989,2.9192,7.6749
3.3304,6.9937,4.9559,5.0604,3.1538,8.7263,3.6019,2.9115,2.3449,7.9932,2.3291,8.1464,2.9194,6.3252,2.8632,7.4891
3.3257,6.976,4.9937,5.1272,3.0822,8.6664,3.7347,2.7,2.3243,7.9679,2.3348,8.5348,2.734,6.422,3.0981,7.624
3.3366,6.9614,5.0482,5.1406,3.0874,8.671,3.7366,2.748,2.1723,7.9723,2.3794,8.3155,2.7722,6.4331,2.9796,7.566
3.3844,7.0167,5.0948,5.0322,3.002,8.6702,3.5784,2.833,2.1874,7.8233,2.3589,8.5163,2.7511,6.4668,3.0129,7.6687
3.339,6.8786,5.3659,4.9695,3.195,8.7453,3.7865,2.9099,2.053,7.9217,2.3552,8.369,2.9191,6.2925,2.6444,7.5799
3.3741,7.0088,4.9349,5.2181,2.9884,8.7637,3.6381,2.6882,2.2039,7.8822,2.3965,8.3557,2.6147,6.4176,2.9751,7.5462
3.3636,6.952,5.0043,5.2737,2.9615,8.8782,3.6899,2.7945,2.1481,7.9604,2.3963,8.3967,2.6477,6.3121,2.9656,7.4568
3.3535,6.9665,5.1682,5.1129,2.9694,8.5608,3.7096,2.6677,2.1838,7.8407,2.3228,8.5119,2.8944,6.3367,2.8741,7.6914
3.353,7.0096,5.0304,5.1284,3.0134,8.6716,3.5166,2.7268,2.2314,7.8346,2.3559,8.4596,2.7247,6.4336,2.9692,7.5511
3.4075,6.9468,5.2831,4.9115,3.0869,8.7326,3.7524,2.8776,2.0979,7.8174,2.3641,8.4272,3.2365,6.2438,2.545,7.4891
3.3545,6.9628,5.2697,5.0261,2.9928,8.6733,3.8137,2.8697,2.1178,7.8216,2.2998,8.3338,3.1465,6.3404,2.5129,7.4129
3.421,7.0058,4.8712,5.1742,2.957,8.7962,3.6615,2.9486,2.1918,7.9117,2.3545,8.3806,2.8458,6.3976,2.9319,7.452
3.3805,6.9226,5.0655,5.152,3.0946,8.7326,3.6684,2.8863,2.043,7.9513,2.3439,8.1514,2.7603,6.5293,2.9389,7.6075
3.4503,6.917,4.9794,5.258,2.9902,8.9734,3.6164,2.8672,2.0508,7.7746,2.3952,8.4254,2.7557,6.4037,2.9728,7.5836
3.345,6.9729,5.0991,5.0977,3.0513,8.6756,3.7824,2.8093,2.1391,7.8629,2.2627,8.3701,2.8668,6.3006,2.8795,7.6345
3.3562,6.9818,5.081,5.1677,2.9379,8.8061,3.64,2.781,2.1939,7.9298,2.3355,8.4209,2.5506,6.4325,3.1112,7.4816
3.4219,6.9908,4.9973,5.117,3.0673,8.795,3.8401,2.7616,2.2928,7.8453,2.396,8.3721,2.7598,6.4495,2.9051,7.4964
3.4041,6.9732,5.097,5.0786,3.0611,8.6923,3.679,2.8689,2.195,7.7843,2.4645,8.3872,2.9954,6.3788,2.6789,7.4601
3.4141,6.9654,5.1156,5.1013,3.035,8.7009,3.749,2.8209,2.0783,7.7946,2.4974,8.33,2.9546,6.4089,2.7861,7.5733
3.4116,6.9275,5.2335,4.9714,3.0951,8.6715,3.7653,2.834,2.0127,7.7933,2.4537,8.3097,3.2145,6.3973,2.5609,7.4936
3.365,6.9715,5.1214,5.1721,2.899,8.7149,3.6723,2.6273,2.2407,7.8013,2.3984,8.407,2.7976,6.3968,2.9813,7.5676
3.4221,6.9331,5.0842,5.1789,2.996,8.7507,3.6451,2.7283,2.1387,7.804,2.5445,8.3205,2.7063,6.5389,2.9621,7.4617
3.3234,6.9035,4.9388,5.2451,3.0471,8.8334,3.665,2.6748,2.4253,8.0582,2.3351,8.4615,2.6189,6.4041,3.2513,7.4677
